case_id,failure_case,mutation_signature,validator_target,test_node_id,expected_error,fails_closed,verified
X18,human_family_field_prefilled,family_version=v1,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X18],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X19,human_rule_field_prefilled,rule_version=v1,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X19],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X20,attestation_field_prefilled,family_attestation=false,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X20],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X21,decision_prefilled,family_decision=pending,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X21],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X22,reviewer_or_attestor_prefilled,reviewer_id=machine,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X22],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X23,review_completed_prefilled,review_completed=false,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X23],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X24,package_file_count_not_5,manifest_file_count=4,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X24],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X25,extra_package_file,extra.txt=bytes,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X25],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X26,missing_package_file,README_deleted,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X26],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X27,manifest_sha_mismatch,worklist_sha=zero,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X27],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X28,worklist_field_order_drift,first_two_fields_swapped,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X28],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X29,sample_evidence_field_order_drift,first_two_fields_swapped,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X29],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X30,candidate_evidence_order_drift,first_two_records_swapped,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X30],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X31,existing_target_directory,precreate_target_directory,publication,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X31],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X32,existing_arbitrary_target_symlink,precreate_target_symlink,publication,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X32],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X33,parent_path_escape,target_outside_expected_parent,publication,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X33],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X34,partial_object_write,write_failure_after_first_file,publication,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X34],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X35,canonical_symlink_publication_failure,os_symlink_raises,publication,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X35],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X36,created_file_inode_replaced_during_cleanup,created_object_file_replaced,publication,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X36],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X37,object_directory_inode_replaced_during_cleanup,created_object_directory_replaced,publication,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X37],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X38,file_mode_not_0644,workspace_file_mode=0600,workspace,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X38],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X39,forbidden_structure_file_in_package,sample.pdb=bytes,package_payloads,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X39],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X40,execution_boundary_crossed,raw_structure_read=true,response,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X40],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X41,response_summary_tampering,review_unit_count=6_rehashed,response,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X41],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X42,candidate_lifecycle_not_commit_survivable,formal_parent_mismatch,lifecycle,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X42],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X43,index_hides_actual_worktree_drift,actual_blob_differs_from_index,lifecycle,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X43],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X44,valid_looking_lifecycle_witness_substitution,origin_sha=substituted,response,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X44],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X45,canonical_symlink_absolute_or_path_escape,canonical_link_target=../escape,canonical_workspace,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X45],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X46,canonical_symlink_wrong_sibling_or_prefix,canonical_link_target=wrong_object,canonical_workspace,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X46],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X47,canonical_symlink_broken,canonical_link_target=missing_valid_object,canonical_workspace,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X47],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X48,published_object_directory_inode_or_type_drift,object_directory_replaced_with_file,canonical_workspace,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X48],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
X49,workspace_file_sha256_valid_looking_substitution,workspace_file_sha256[README.md]=different_valid_sha,response,tests/test_covapie_current11_reaction_family_and_warhead_rule_approval_review_package_v1.py::test_failure_matrix_case_fails_closed[X49],COVAPIE_CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_PACKAGE_INVALID,true,true
