admission_rule_id,contract_order,contract_area,contract_item,exact_requirement,failure_disposition,dispatch_error_reason,legacy_evaluator_called_on_failure,contract_passed
ADMIT_002,5,routing,download_result_context_3,must be None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_002_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,false,true
ADMIT_002,6,routing,stage_authorization_context_4,must be None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_002_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,false,true
ADMIT_002,7,candidate_projection,candidate_record_type,Mapping or Mapping subclass; non-Mapping yields invalid rule result,ADMIT_002_CANDIDATE_RECORD_MAPPING_INVALID,,false,true
ADMIT_002,8,candidate_projection,required_field,pdb_id must be present; missing yields invalid rule result,ADMIT_002_CANDIDATE_FIELD_MISSING:pdb_id,,false,true
ADMIT_002,9,candidate_projection,candidate_non_mapping_unified_result,"schema_version=covapie_unified_admission_rule_evaluation_v1;admission_rule_id=ADMIT_002;admission_rule_name=valid_pdb_id_format;outcome=invalid;passed=false;blocks_candidate=true;reason=ADMIT_002_CANDIDATE_RECORD_MAPPING_INVALID;normalized_values=();validated_candidate_fields=();consumed_candidate_fields=(""pdb_id"",);consumed_context_items=();evaluator_io_used=false;adapter_id=covapie_admit_002_unified_adapter_v1;legacy_evaluator_called=false",adapter_side_invalid_unified_result,,false,true
ADMIT_002,10,candidate_projection,candidate_missing_field_unified_result,"schema_version=covapie_unified_admission_rule_evaluation_v1;admission_rule_id=ADMIT_002;admission_rule_name=valid_pdb_id_format;outcome=invalid;passed=false;blocks_candidate=true;reason=ADMIT_002_CANDIDATE_FIELD_MISSING:pdb_id;normalized_values=();validated_candidate_fields=();consumed_candidate_fields=(""pdb_id"",);consumed_context_items=();evaluator_io_used=false;adapter_id=covapie_admit_002_unified_adapter_v1;legacy_evaluator_called=false",adapter_side_invalid_unified_result,,false,true
ADMIT_002,11,candidate_projection,field_value_identity,pass original pdb_id value object unchanged; no trim/coerce/normalize/copy,fail_closed_if_violated,,not_applicable,true
ADMIT_002,12,candidate_projection,extra_fields,do not pass candidate extra fields to legacy evaluator,fail_closed_if_violated,,not_applicable,true
ADMIT_002,13,candidate_projection,candidate_mutation,candidate record must not be mutated,fail_closed_if_violated,,not_applicable,true
ADMIT_002,14,static_policy_boundary,pdb_id_format_contract,committed source SHA plus future adapter implementation dependency; caller does not repeat; no dynamic filesystem load or fabricated context,fail_closed_if_dependency_unavailable,,not_applicable,true
ADMIT_002,15,static_policy_boundary,runtime_evaluation_context,None; static policy is not runtime caller evidence,routing_contract_restatement,,not_applicable,true
ADMIT_002,16,unified_field_mapping,normalized_values,"empty source => (); nonempty => ((""pdb_id"",canonical_pdb_id),)",UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_002,17,unified_field_mapping,validated_candidate_fields,"passed => ((""pdb_id"",canonical_pdb_id),); invalid => ()",UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_002,18,unified_field_mapping,consumed_candidate_fields,"(""pdb_id"",)",UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_002,19,unified_field_mapping,consumed_context_items,(),UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_002,20,unified_field_mapping,evaluator_io_used,false,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_002,21,unified_field_mapping,adapter_id,covapie_admit_002_unified_adapter_v1,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_002,22,adapter_invariant,input_form,invariant check only; never project into any UnifiedAdmissionRuleEvaluation field,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_002,23,adapter_invariant,legacy_result,exact dict; exact ordered keyset; exact rule ID; passed exact bool; declared strings exact str; passed iff reason empty,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY;no_partial_unified_result,,not_applicable,true
ADMIT_002,24,adapter_invariant,unknown_nonempty_reason,reason must exist in exact per-rule mapping; no fallback row,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY;do_not_guess_outcome,,not_applicable,true
ADMIT_003,1,execution_order,execution_precedence,1:rule-ID validation|2:known/registered/adapter-ready validation|3:runtime context routing validation|4:candidate Mapping validation|5:required candidate-field validation|6:legacy evaluator call|7:exact legacy-result type/key/field validation|8:legacy-result semantic invariant and semantic-oracle equivalence validation|9:reason-to-outcome mapping|10:UnifiedAdmissionRuleEvaluation construction,contract_invariant,,not_applicable,true
ADMIT_003,2,routing,rule_id_and_registration,validate rule ID and registration before every context check,dispatch_fail_closed,,false,true
ADMIT_003,3,routing,batch_context_1,must be None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_003_BATCH_CONTEXT_MUST_BE_NONE,false,true
ADMIT_003,4,routing,evaluation_context_2,must be None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_003_EVALUATION_CONTEXT_MUST_BE_NONE,false,true
ADMIT_003,5,routing,download_result_context_3,must be None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_003_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,false,true
ADMIT_003,6,routing,stage_authorization_context_4,must be None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_003_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,false,true
ADMIT_003,7,candidate_projection,candidate_record_type,Mapping or Mapping subclass; non-Mapping yields invalid rule result,ADMIT_003_CANDIDATE_RECORD_MAPPING_INVALID,,false,true
ADMIT_003,8,candidate_projection,required_field,ligand_comp_id must be present; missing yields invalid rule result,ADMIT_003_CANDIDATE_FIELD_MISSING:ligand_comp_id,,false,true
ADMIT_003,9,candidate_projection,candidate_non_mapping_unified_result,"schema_version=covapie_unified_admission_rule_evaluation_v1;admission_rule_id=ADMIT_003;admission_rule_name=ligand_or_het_identity_present;outcome=invalid;passed=false;blocks_candidate=true;reason=ADMIT_003_CANDIDATE_RECORD_MAPPING_INVALID;normalized_values=();validated_candidate_fields=();consumed_candidate_fields=(""ligand_comp_id"",);consumed_context_items=();evaluator_io_used=false;adapter_id=covapie_admit_003_unified_adapter_v1;legacy_evaluator_called=false",adapter_side_invalid_unified_result,,false,true
ADMIT_003,10,candidate_projection,candidate_missing_field_unified_result,"schema_version=covapie_unified_admission_rule_evaluation_v1;admission_rule_id=ADMIT_003;admission_rule_name=ligand_or_het_identity_present;outcome=invalid;passed=false;blocks_candidate=true;reason=ADMIT_003_CANDIDATE_FIELD_MISSING:ligand_comp_id;normalized_values=();validated_candidate_fields=();consumed_candidate_fields=(""ligand_comp_id"",);consumed_context_items=();evaluator_io_used=false;adapter_id=covapie_admit_003_unified_adapter_v1;legacy_evaluator_called=false",adapter_side_invalid_unified_result,,false,true
ADMIT_003,11,candidate_projection,field_value_identity,pass original ligand_comp_id value object unchanged; no trim/coerce/normalize/copy,fail_closed_if_violated,,not_applicable,true
ADMIT_003,12,candidate_projection,extra_fields,do not pass candidate extra fields to legacy evaluator,fail_closed_if_violated,,not_applicable,true
ADMIT_003,13,candidate_projection,candidate_mutation,candidate record must not be mutated,fail_closed_if_violated,,not_applicable,true
ADMIT_003,14,static_policy_boundary,ligand_comp_id_contract,committed source SHA plus future adapter implementation dependency; caller does not repeat; no dynamic filesystem load or fabricated context,fail_closed_if_dependency_unavailable,,not_applicable,true
ADMIT_003,15,static_policy_boundary,runtime_evaluation_context,None; static policy is not runtime caller evidence,routing_contract_restatement,,not_applicable,true
ADMIT_003,16,unified_field_mapping,normalized_values,"empty source => (); nonempty => ((""ligand_comp_id"",canonical_ligand_comp_id),)",UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_003,17,unified_field_mapping,validated_candidate_fields,"passed => ((""ligand_comp_id"",canonical_ligand_comp_id),); invalid => ()",UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_003,18,unified_field_mapping,consumed_candidate_fields,"(""ligand_comp_id"",)",UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_003,19,unified_field_mapping,consumed_context_items,(),UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_003,20,unified_field_mapping,evaluator_io_used,false,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_003,21,unified_field_mapping,adapter_id,covapie_admit_003_unified_adapter_v1,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,,not_applicable,true
ADMIT_003,22,adapter_invariant,legacy_result,exact dict; exact ordered keyset; exact rule ID; passed exact bool; declared strings exact str; passed iff reason empty,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY;no_partial_unified_result,,not_applicable,true
ADMIT_003,23,adapter_invariant,unknown_nonempty_reason,reason must exist in exact per-rule mapping; no fallback row,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY;do_not_guess_outcome,,not_applicable,true
