truth_group,case_id,expected_outcome,observed_outcome,expected_reason,observed_reason,canonical_residue_name,validated_candidate_field_count,evidence_context_consumed,evaluator_io_used,truth_passed
candidate_invalid,CANDIDATE_INVALID_005_MISSING_COVALENT_RESIDUE_ATOM_NAME,invalid,invalid,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_atom_name,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_atom_name,CYS,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_006_MISSING_COVALENT_RESIDUE_LOCATOR_NAMESPACE,invalid,invalid,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_locator_namespace,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_locator_namespace,CYS,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_007_MISSING_COVALENT_RESIDUE_INSERTION_CODE_STATE,invalid,invalid,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_insertion_code_state,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_insertion_code_state,CYS,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_008_MISSING_COVALENT_RESIDUE_INSERTION_CODE,invalid,invalid,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_insertion_code,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_insertion_code,CYS,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_009_MISSING_COVALENT_RESIDUE_LOCATOR_PROVENANCE_SOURCE_ID,invalid,invalid,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_locator_provenance_source_id,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_locator_provenance_source_id,CYS,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_010_MISSING_COVALENT_RESIDUE_LOCATOR_PROVENANCE_SHA256,invalid,invalid,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_locator_provenance_sha256,ADMIT_004_CANDIDATE_FIELD_MISSING:covalent_residue_locator_provenance_sha256,CYS,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_011_RESIDUE_SYNTAX,invalid,invalid,COVALENT_RESIDUE_NAME_SYNTAX_INVALID,COVALENT_RESIDUE_NAME_SYNTAX_INVALID,,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_012_CHAIN_WHITESPACE,invalid,invalid,COVALENT_RESIDUE_CHAIN_ID_LEXICAL_INVALID,COVALENT_RESIDUE_CHAIN_ID_LEXICAL_INVALID,CYS,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_013_INDEX_NON_STR,invalid,invalid,COVALENT_RESIDUE_INDEX_TYPE_INVALID,COVALENT_RESIDUE_INDEX_TYPE_INVALID,CYS,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_014_ATOM_MARKER,invalid,invalid,COVALENT_RESIDUE_ATOM_NAME_MARKER_FORBIDDEN,COVALENT_RESIDUE_ATOM_NAME_MARKER_FORBIDDEN,CYS,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_015_NAMESPACE,invalid,invalid,COVALENT_RESIDUE_LOCATOR_NAMESPACE_INVALID,COVALENT_RESIDUE_LOCATOR_NAMESPACE_INVALID,CYS,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_016_ABSENT_NONEMPTY,invalid,invalid,COVALENT_RESIDUE_INSERTION_ABSENT_REQUIRES_EMPTY,COVALENT_RESIDUE_INSERTION_ABSENT_REQUIRES_EMPTY,CYS,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_017_PROVENANCE_SOURCE,invalid,invalid,COVALENT_RESIDUE_PROVENANCE_SOURCE_ID_INVALID,COVALENT_RESIDUE_PROVENANCE_SOURCE_ID_INVALID,CYS,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_018_PROVENANCE_SHA,invalid,invalid,COVALENT_RESIDUE_PROVENANCE_SHA256_INVALID,COVALENT_RESIDUE_PROVENANCE_SHA256_INVALID,CYS,0,false,false,true
candidate_invalid,CANDIDATE_INVALID_019_PRESENT_BACKSLASH,invalid,invalid,COVALENT_RESIDUE_INSERTION_PRESENT_CHARACTER_GRAMMAR_INVALID,COVALENT_RESIDUE_INSERTION_PRESENT_CHARACTER_GRAMMAR_INVALID,CYS,0,false,false,true
context_invalid,CONTEXT_INVALID_001_TOP_NON_MAPPING,invalid,invalid,ADMIT_004_EVALUATION_CONTEXT_MAPPING_INVALID,ADMIT_004_EVALUATION_CONTEXT_MAPPING_INVALID,CYS,9,false,false,true
context_invalid,CONTEXT_INVALID_002_NESTED_NON_MAPPING,invalid,invalid,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_MAPPING_INVALID,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_MAPPING_INVALID,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_003_SCHEMA,invalid,invalid,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_SCHEMA_INVALID,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_SCHEMA_INVALID,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_004_NESTED_MISSING,invalid,invalid,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_KEYSET_INVALID,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_KEYSET_INVALID,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_005_NESTED_EXTRA,invalid,invalid,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_KEYSET_INVALID,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_KEYSET_INVALID,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_006_ATTESTED_NON_MAPPING,invalid,invalid,ADMIT_004_ATTESTED_CANDIDATE_FIELDSET_INVALID,ADMIT_004_ATTESTED_CANDIDATE_FIELDSET_INVALID,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_007_ATTESTED_MISSING,invalid,invalid,ADMIT_004_ATTESTED_CANDIDATE_FIELDSET_INVALID,ADMIT_004_ATTESTED_CANDIDATE_FIELDSET_INVALID,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_008_ATTESTED_EXTRA,invalid,invalid,ADMIT_004_ATTESTED_CANDIDATE_FIELDSET_INVALID,ADMIT_004_ATTESTED_CANDIDATE_FIELDSET_INVALID,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_009_ATTESTED_TYPE,invalid,invalid,ADMIT_004_ATTESTED_CANDIDATE_VALUE_TYPE_INVALID:covalent_residue_chain_id,ADMIT_004_ATTESTED_CANDIDATE_VALUE_TYPE_INVALID:covalent_residue_chain_id,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_010_RAW_BINDING,invalid,invalid,ADMIT_004_ATTESTED_CANDIDATE_BINDING_MISMATCH:covalent_residue_name,ADMIT_004_ATTESTED_CANDIDATE_BINDING_MISMATCH:covalent_residue_name,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_011_OUTCOME_ENUM,invalid,invalid,ADMIT_004_PROVIDER_EVIDENCE_OUTCOME_INVALID,ADMIT_004_PROVIDER_EVIDENCE_OUTCOME_INVALID,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_012_PASSED_REASON,invalid,invalid,ADMIT_004_PROVIDER_EVIDENCE_REASON_INVALID,ADMIT_004_PROVIDER_EVIDENCE_REASON_INVALID,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_013_BLOCKED_EMPTY_REASON,invalid,invalid,ADMIT_004_PROVIDER_EVIDENCE_REASON_INVALID,ADMIT_004_PROVIDER_EVIDENCE_REASON_INVALID,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_014_INVALID_EMPTY_REASON,invalid,invalid,ADMIT_004_PROVIDER_EVIDENCE_REASON_INVALID,ADMIT_004_PROVIDER_EVIDENCE_REASON_INVALID,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_015_REASON_NON_ASCII,invalid,invalid,ADMIT_004_PROVIDER_EVIDENCE_REASON_INVALID,ADMIT_004_PROVIDER_EVIDENCE_REASON_INVALID,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_016_FOUR_WAY_TYPE,invalid,invalid,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_BOOL_INVALID:four_way_present_value_exact_equality_attested,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_BOOL_INVALID:four_way_present_value_exact_equality_attested,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_017_QUOTE_TYPE,invalid,invalid,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_BOOL_INVALID:present_value_quote_class_roundtrip_verified,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_BOOL_INVALID:present_value_quote_class_roundtrip_verified,CYS,9,true,false,true
context_invalid,CONTEXT_INVALID_018_PROVIDER_INVALID_PROPAGATED,invalid,invalid,PROVIDER_INVALID,PROVIDER_INVALID,CYS,9,true,false,true
