feature_name,feature_category,current_source,current_semantics_status,training_semantics_status,expected_current_value_or_policy,blocker_before_training,audit_comment,feature_semantics_contract_passed
ligand_atom_table_path,source_path,step13bh_sample_index,derived_table_path_reference_only,not_training_input_current_step,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
protein_atom_row_count_for_event,source_count,step13bh_sample_index,explicit_current_event_atom_count,not_training_ready_until atom feature semantics audited,event protein atom row count,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
ligand_atom_row_count_for_event,source_count,step13bh_sample_index,explicit_current_event_ligand_atom_count,not_training_ready_until ligand feature semantics audited,event ligand atom row count,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
mask_task_name,mask_conditioning,step13bh_sample_index,canonical_long_name_source_of_truth,not_training_ready_until mask tensor semantics finalized,warhead_only;linker_plus_warhead;scaffold_plus_warhead;scaffold_only;scaffold_plus_linker_plus_warhead,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
mask_task_alias,mask_conditioning,step13bh_sample_index,display_alias_only,not_training_ready_until alias never used as source of truth,A;B;B2;B3;C,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
mask_task_semantic_description,mask_conditioning,step13bh_sample_index,human_readable_current_semantics,not_training_ready_until mask application semantics audited,per-mask design descriptions,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
conditioning_mode,conditioning,step13bh_sample_index,protein_covalent_residue_conditioned,not_training_ready_until conditioning implementation audited,protein_covalent_residue_conditioned,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
covalent_residue_conditioned,conditioning,step13bh_sample_index,true_for_current_samples,not_training_ready_until conditioning implementation audited,true,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
scaffold_linker_warhead_annotation_status,auxiliary_label,step13bh_sample_index,required_before_training_not_materialized,blocking_before_training,required_before_training_not_materialized,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
warhead_type_label_status,auxiliary_label,step13bh_sample_index,required_before_training_not_materialized,blocking_before_training,required_before_training_not_materialized,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
ligand_residue_atom_pair_label_status,auxiliary_label,step13bh_sample_index,present_from_extraction_qa_feature_audit_required,requires_audit_before_training,present_from_extraction_qa_feature_audit_required,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
pre_post_geometry_label_status,auxiliary_label,step13bh_sample_index,post_covalent_geometry_present_feature_audit_required,requires_pre_post_policy_before_training,post_covalent_geometry_present_feature_audit_required,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
feature_semantics_audit_required_before_training,training_boundary,step13bh_sample_index,true,blocker_preserved,true,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
leakage_split_design_required_before_training,training_boundary,step13bh_sample_index,true,blocker_preserved,true,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
split_assignment_status,split_boundary,step13bh_sample_index,not_written_current_step,not_training_ready_without_real_split,not_written_current_step,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
ready_for_training,training_boundary,step13bh_sample_index,false,training_forbidden,false,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
unknown_atom_feature_policy,feature_policy,static_source_audit,not_finalized_for_training_current_step,blocking_before_training,not_finalized_for_training_current_step,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
feature_semantics_known_for_training,training_boundary,current_gate_manifest,false,training_forbidden,false,True,current semantics are documented; training semantics remain blocked until future finalization gates,True
