domain,case_id,input_condition,observed_current_behavior,evidence_path,evidence_symbol,checkpoint_width_effect,allowed_training_policy,policy_reason,fails_closed,verified
protein_or_pocket_atom,silent first-index fallback,silent first-index fallback,not observed in committed checkpoint helper,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10,unknown_atom_policy_unresolved,formal evaluator rejects either proposed fallback,True,True
protein_or_pocket_atom,drop atom,drop atom,not implemented by the current final canonical table path,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,no_width_change,unknown_atom_policy_unresolved,a future fail-closed policy is required but not implemented,False,True
protein_or_pocket_atom,drop sample,drop sample,not implemented by the current final canonical table path,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,no_width_change,unknown_atom_policy_unresolved,a future fail-closed policy is required but not implemented,False,True
protein_or_pocket_atom,raise/reject,raise/reject,not implemented by the current final canonical table path,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,no_width_change,unknown_atom_policy_unresolved,a future fail-closed policy is required but not implemented,False,True
protein_or_pocket_atom,new channel width change,new channel width change,new unknown channel changes categorical width from 10 to 11,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,incompatible_10_to_11,unknown_atom_policy_unresolved,width change is explicitly forbidden for checkpoint compatibility,True,True
protein_or_pocket_atom,checkpoint-width incompatibility,checkpoint-width incompatibility,11-channel input is incompatible with the frozen 10-wide checkpoint interface,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,incompatible,unknown_atom_policy_unresolved,current policy must preserve width 10,True,True
protein_or_pocket_atom,current admitted data contains unsupported token,current admitted data contains unsupported token,explicit type_symbol coverage contains 329 unsupported H rows,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,would_trigger_zero_vector_if_unfiltered,unknown_atom_policy_unresolved,current admitted data disproves the no-unsupported-data prerequisite,False,True
protein_or_pocket_atom,future data contains unsupported token,future data contains unsupported token,current Step12D helper silently emits an all-zero 10-vector,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10_but_semantically_unsafe,unknown_atom_policy_unresolved,silent zero-vector fallback is not an allowed final training policy,False,True
ligand_atom,protein supported token,protein supported token,exact token maps to its committed 0-based one-hot channel,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10,unknown_atom_policy_unresolved,supported mapping is explicit,True,True
ligand_atom,ligand supported token,ligand supported token,exact token maps to its committed 0-based one-hot channel,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10,unknown_atom_policy_unresolved,supported mapping is explicit,True,True
ligand_atom,explicit unknown token,explicit unknown token,no dedicated unknown or other channel in checkpoint-compatible width 10,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,adding_channel_changes_10_to_11,unknown_atom_policy_unresolved,absence is explicit; adding a channel breaks checkpoint width,True,True
ligand_atom,explicit other token,explicit other token,no dedicated unknown or other channel in checkpoint-compatible width 10,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,adding_channel_changes_10_to_11,unknown_atom_policy_unresolved,absence is explicit; adding a channel breaks checkpoint width,True,True
ligand_atom,unsupported token,unsupported token,current Step12D helper silently emits an all-zero 10-vector,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10_but_semantically_unsafe,unknown_atom_policy_unresolved,silent zero-vector fallback is not an allowed final training policy,False,True
ligand_atom,missing token,missing token,no integrated final-table-to-atomic-number contract; behavior unresolved,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unknown,unknown_atom_policy_unresolved,missing/empty token handling is not frozen,False,True
ligand_atom,empty token,empty token,no integrated final-table-to-atomic-number contract; behavior unresolved,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unknown,unknown_atom_policy_unresolved,missing/empty token handling is not frozen,False,True
ligand_atom,invalid type,invalid type,tensor/int conversion raises before a valid one-hot row exists,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,no_model_input,unknown_atom_policy_unresolved,invalid scalar type cannot silently select a channel,True,True
ligand_atom,out-of-range index,out-of-range index,current Step12D helper silently emits an all-zero 10-vector,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10_but_semantically_unsafe,unknown_atom_policy_unresolved,silent zero-vector fallback is not an allowed final training policy,False,True
ligand_atom,negative index,negative index,current Step12D helper silently emits an all-zero 10-vector,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10_but_semantically_unsafe,unknown_atom_policy_unresolved,silent zero-vector fallback is not an allowed final training policy,False,True
ligand_atom,silent carbon fallback,silent carbon fallback,not observed in committed checkpoint helper,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10,unknown_atom_policy_unresolved,formal evaluator rejects either proposed fallback,True,True
ligand_atom,silent zero-vector fallback,silent zero-vector fallback,current Step12D helper silently emits an all-zero 10-vector,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10_but_semantically_unsafe,unknown_atom_policy_unresolved,silent zero-vector fallback is not an allowed final training policy,False,True
ligand_atom,silent first-index fallback,silent first-index fallback,not observed in committed checkpoint helper,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10,unknown_atom_policy_unresolved,formal evaluator rejects either proposed fallback,True,True
ligand_atom,drop atom,drop atom,not implemented by the current final canonical table path,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,no_width_change,unknown_atom_policy_unresolved,a future fail-closed policy is required but not implemented,False,True
ligand_atom,drop sample,drop sample,not implemented by the current final canonical table path,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,no_width_change,unknown_atom_policy_unresolved,a future fail-closed policy is required but not implemented,False,True
ligand_atom,raise/reject,raise/reject,not implemented by the current final canonical table path,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,no_width_change,unknown_atom_policy_unresolved,a future fail-closed policy is required but not implemented,False,True
ligand_atom,new channel width change,new channel width change,new unknown channel changes categorical width from 10 to 11,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,incompatible_10_to_11,unknown_atom_policy_unresolved,width change is explicitly forbidden for checkpoint compatibility,True,True
ligand_atom,checkpoint-width incompatibility,checkpoint-width incompatibility,11-channel input is incompatible with the frozen 10-wide checkpoint interface,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,incompatible,unknown_atom_policy_unresolved,current policy must preserve width 10,True,True
ligand_atom,current admitted data contains unsupported token,current admitted data contains unsupported token,explicit type_symbol coverage contains 16 unsupported H rows,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,would_trigger_zero_vector_if_unfiltered,unknown_atom_policy_unresolved,current admitted data disproves the no-unsupported-data prerequisite,False,True
ligand_atom,future data contains unsupported token,future data contains unsupported token,current Step12D helper silently emits an all-zero 10-vector,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers/CHECKPOINT_10D_ATOMIC_NUMBER_TO_INDEX,unchanged_10_but_semantically_unsafe,unknown_atom_policy_unresolved,silent zero-vector fallback is not an allowed final training policy,False,True
