matrix_order,matrix_group,case_id,routing_condition,envelope_representation,lookup_count,lookup_order,candidate_key_access_count,formal_call_count,oracle_call_count,identity_preserved,expected_dispatch_code,expected_reason,expected_result_json,case_passed
11,candidate,candidate_extra_fields,candidate Mapping has unrelated keys,candidate={extra:bomb},8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
12,candidate,candidate_zero_key_access,candidate access bomb,candidate=instrumented_mapping,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
13,first_missing,first_missing_1,first missing download key: download_result_status,download=instrumented_mapping,5,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status,0,1,1,true,,,,true
14,first_missing,first_missing_2,first missing download key: observed_http_status,download=instrumented_mapping,6,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status,0,1,1,true,,,,true
15,first_missing,first_missing_3,first missing download key: observed_content_length_bytes,download=instrumented_mapping,7,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes,0,1,1,true,,,,true
16,first_missing,first_missing_4,first missing download key: observed_sha256,download=instrumented_mapping,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
17,first_missing,empty_download_mapping,all download keys absent,download={},5,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status,0,1,1,true,,,,true
18,lookup,present_none,present None is not missing,download status=None,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
19,lookup,present_false,present False is not missing,download http=False,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
20,lookup,present_zero,present zero is not missing,download content=0,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
21,lookup,extra_download_key,extra download key ignored,"download={Exact4,extra:bomb}",8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
22,lookup,identity_preserved,present field/context objects forwarded,identity_sentinels,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
23,call,formal_once,valid routing,all_envelopes_valid,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
24,call,oracle_once,valid formal source,all_envelopes_valid,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
25,call,formal_exception,formal raises,all_envelopes_valid,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,0,true,,,,true
26,source_failure,formal_wrong_type,formal returns object,all_envelopes_valid,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,0,true,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_012_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID,,true
27,source_failure,formal_storage_order,formal storage order drift,all_envelopes_valid,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,0,true,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_012_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
28,source_failure,formal_top_level_type,formal Exact10 top-level type drift,all_envelopes_valid,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,0,true,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_012_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
29,source_failure,formal_pair_type,formal canonical pair type drift,all_envelopes_valid,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,0,true,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_012_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
30,oracle_failure,oracle_exception,oracle raises,all_envelopes_valid,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_012_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
31,oracle_failure,oracle_wrong_type,oracle exact type drift,all_envelopes_valid,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_012_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
32,oracle_failure,oracle_storage_order,oracle storage order drift,all_envelopes_valid,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_012_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
33,oracle_failure,formal_oracle_mismatch,full Exact10 mismatch,all_envelopes_valid,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_012_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,,true
34,projection,full_success,complete passed Exact10,success|200|1|lower_sha,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
35,projection,failure_status,failure status remains passed,failure|599|0|lower_sha,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
36,projection,http_boundaries,HTTP 100/200/404/599 canonical decimal,http=100|200|404|599,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
37,projection,content_values,content 0/1/large canonical decimal,content=0|1|large,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
38,projection,validated_prefixes,validated prefix lengths 0..4,prefix=0|1|2|3|4,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
39,projection,exact_string_pairs,no int enters Exact13,exact_string_pairs_only,8,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract|download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,0,1,1,true,,,,true
40,registry,current_exact11,current order unchanged,ADMIT_001..011,0,,0,0,0,n/a,,,,true
41,registry,future_exact12,future order frozen,ADMIT_001..012,0,,0,0,0,n/a,,,,true
42,registry,known_unregistered,ADMIT_013..015 remain known unregistered,ADMIT_013|ADMIT_014|ADMIT_015,0,,0,0,0,n/a,,,,true
43,registry,handler_identity,existing 11 handler identities unchanged,identity_preserved,0,,0,0,0,true,,,,true
