field_index,final_dataset_field_name,expected_field_name,observed_field_name,source_schema_contract_found,csv_field_order_matches,json_field_order_matches,no_missing_field,no_extra_field,schema_order_qa_passed,qa_comment
16,protein_pocket_atom_table_path,protein_pocket_atom_table_path,protein_pocket_atom_table_path,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
17,ligand_atom_table_path,ligand_atom_table_path,ligand_atom_table_path,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
18,protein_atom_row_count_for_event,protein_atom_row_count_for_event,protein_atom_row_count_for_event,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
19,ligand_atom_row_count_for_event,ligand_atom_row_count_for_event,ligand_atom_row_count_for_event,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
20,mask_task_name,mask_task_name,mask_task_name,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
21,mask_task_alias,mask_task_alias,mask_task_alias,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
22,mask_task_semantic_description,mask_task_semantic_description,mask_task_semantic_description,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
23,conditioning_mode,conditioning_mode,conditioning_mode,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
24,covalent_residue_conditioned,covalent_residue_conditioned,covalent_residue_conditioned,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
25,source_sample_index_path,source_sample_index_path,source_sample_index_path,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
26,source_split_unit_preview_path,source_split_unit_preview_path,source_split_unit_preview_path,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
27,feature_semantics_contract_path,feature_semantics_contract_path,feature_semantics_contract_path,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
28,scaffold_linker_warhead_annotation_status,scaffold_linker_warhead_annotation_status,scaffold_linker_warhead_annotation_status,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
29,warhead_type_label_status,warhead_type_label_status,warhead_type_label_status,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
30,ligand_residue_atom_pair_label_status,ligand_residue_atom_pair_label_status,ligand_residue_atom_pair_label_status,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
31,pre_post_geometry_label_status,pre_post_geometry_label_status,pre_post_geometry_label_status,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
32,coordinate_unit,coordinate_unit,coordinate_unit,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
33,coordinate_frame_status,coordinate_frame_status,coordinate_frame_status,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
34,pre_covalent_geometry_status,pre_covalent_geometry_status,pre_covalent_geometry_status,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
35,post_covalent_geometry_status,post_covalent_geometry_status,post_covalent_geometry_status,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
36,feature_semantics_audit_status,feature_semantics_audit_status,feature_semantics_audit_status,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
37,feature_semantics_known_for_training,feature_semantics_known_for_training,feature_semantics_known_for_training,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
38,unknown_atom_feature_policy_finalized_for_training,unknown_atom_feature_policy_finalized_for_training,unknown_atom_feature_policy_finalized_for_training,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
39,leakage_split_qa_status,leakage_split_qa_status,leakage_split_qa_status,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
40,split_assignment_status,split_assignment_status,split_assignment_status,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
41,final_dataset_materialized_current_step,final_dataset_materialized_current_step,final_dataset_materialized_current_step,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
42,dataloader_ready,dataloader_ready,dataloader_ready,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
43,ready_for_training,ready_for_training,ready_for_training,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
44,training_blocker_summary,training_blocker_summary,training_blocker_summary,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
45,schema_version,schema_version,schema_version,True,True,True,True,True,True,CSV order and schema-projected JSON field order match Step 13BN contract
