case_id,case_group,scalar_input_kind,scalar_input_display,context_input_kind,context_input_display,expected_outcome,expected_reason,observed_outcome,observed_reason,expected_canonical_evidence_source,observed_canonical_evidence_source,expected_validated_candidate_fields,observed_validated_candidate_fields,consumed_candidate_fields,consumed_context_items,evaluator_io_used,expected_full_result,observed_full_result,independent_oracle_full_result,case_passed
CASE_011_whitespace_only,empty_syntax,str,""" """,exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_012_leading_whitespace,empty_syntax,str,""" explicit_structure_bond_record""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_013_trailing_whitespace,empty_syntax,str,"""explicit_structure_bond_record """,exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_014_uppercase,empty_syntax,str,"""Explicit_structure_bond_record""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_015_hyphen,empty_syntax,str,"""explicit-structure-bond-record""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_016_dot,empty_syntax,str,"""explicit.structure""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_017_slash,empty_syntax,str,"""explicit/structure""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_018_non_ascii,empty_syntax,str,"""explicit_\u00e9vidence""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_NON_ASCII,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_NON_ASCII,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_NON_ASCII"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_NON_ASCII"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_NON_ASCII"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_019_over_length,empty_syntax,str,"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_020_leading_digit,empty_syntax,str,"""1explicit""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_021_unknown_valid,unknown,str,"""unregistered_value""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_022_unknown_explicit_looking,unknown,str,"""explicit_database_bond""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_023_unknown_manual_review,unknown,str,"""manual_review""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_024_unknown_other,unknown,str,"""other""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_025_unknown_unknown,unknown,str,"""unknown""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,,,[],[],covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN"",""canonical_covalent_event_evidence_source"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_026_context_exact_tuple,context,str,"""explicit_structure_bond_record""",exact_tuple,"tuple:[""explicit_structure_bond_record"", ""explicit_curated_covalent_annotation""]",passed,,passed,,explicit_structure_bond_record,explicit_structure_bond_record,"[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]]","[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]]",covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_covalent_event_evidence_source"":""explicit_structure_bond_record"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_covalent_event_evidence_source"":""explicit_structure_bond_record"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_covalent_event_evidence_source"":""explicit_structure_bond_record"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
CASE_027_context_none,context,str,"""explicit_structure_bond_record""",none,NoneType:None,invalid,ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID,invalid,ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID,explicit_structure_bond_record,explicit_structure_bond_record,"[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]]","[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]]",covalent_event_evidence_source,allowed_covalent_evidence_classes,false,"{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":""explicit_structure_bond_record"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":""explicit_structure_bond_record"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_007"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID"",""canonical_covalent_event_evidence_source"":""explicit_structure_bond_record"",""validated_candidate_fields"":[[""covalent_event_evidence_source"",""explicit_structure_bond_record""]],""consumed_candidate_fields"":[""covalent_event_evidence_source""],""consumed_context_items"":[""allowed_covalent_evidence_classes""],""evaluator_io_used"":false}",true
