case_order,case_id,case_group,routing_condition,source_result_representation,oracle_result_representation,expected_unified_result_json,observed_unified_result_json,exact13_type_value_equality,case_passed
11,TYPE_NONE,exact_bool_negative,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
12,TYPE_FLOAT,exact_bool_negative,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
13,TYPE_LIST,exact_bool_negative,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
14,TYPE_TUPLE,exact_bool_negative,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
15,TYPE_OBJECT,exact_bool_negative,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
16,EXACT_FALSE,projection,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",false]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",false]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""normalized_values"":[[""current_stage_download_authorized"",""false""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""normalized_values"":[[""current_stage_download_authorized"",""false""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
17,EXACT_TRUE,projection,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
18,ADMIT015_COEXIST,coexistence,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
19,EXTRA_KEYS,coexistence,valid five-envelope route,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",false]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",false]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""normalized_values"":[[""current_stage_download_authorized"",""false""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""normalized_values"":[[""current_stage_download_authorized"",""false""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
20,ROUTING_BATCH_NON_NONE,routing_routing_failure,first failure: batch must be None,not_called,not_called,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}","{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}",true,true
21,ROUTING_BATCH_EMPTY_MAPPING,routing_routing_failure,empty mapping is not None,not_called,not_called,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}","{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}",true,true
22,ROUTING_EVALUATION_NON_NONE,routing_routing_failure,second failure: evaluation must be None,not_called,not_called,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}","{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}",true,true
23,ROUTING_EVALUATION_EMPTY_MAPPING,routing_routing_failure,empty mapping is not None,not_called,not_called,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}","{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}",true,true
24,ROUTING_DOWNLOAD_NON_NONE,routing_routing_failure,third failure: download result must be None,not_called,not_called,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}","{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",true,true
25,ROUTING_DOWNLOAD_EMPTY_MAPPING,routing_routing_failure,empty mapping is not None,not_called,not_called,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}","{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",true,true
26,ROUTING_MULTIPLE_INVALID_BATCH_FIRST,routing_routing_failure,batch wins over all later failures,not_called,not_called,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}","{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}",true,true
27,ROUTING_MULTIPLE_INVALID_EVALUATION_FIRST,routing_routing_failure,evaluation wins over download and candidate,not_called,not_called,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}","{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}",true,true
28,ROUTING_MULTIPLE_INVALID_DOWNLOAD_FIRST,routing_routing_failure,download wins over candidate,not_called,not_called,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}","{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",true,true
29,ROUTING_CANDIDATE_NON_MAPPING,routing_candidate,fourth check returns invalid Exact13,not_called,not_called,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_014_CANDIDATE_RECORD_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_014_CANDIDATE_RECORD_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
30,ROUTING_CANDIDATE_EMPTY,routing_candidate,empty Mapping is valid and never read,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
31,ROUTING_CANDIDATE_INSTRUMENTED,routing_candidate,candidate Mapping key access remains zero,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
