truth_group,case_id,execution_kind,expected_outcome,observed_outcome,expected_error_code,observed_error_code,expected_reason,observed_reason,passed,blocks_candidate,evaluator_io_used,truth_passed
dispatch_error,A001_CONTEXT_MAPPING,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_BATCH_CONTEXT_MAPPING_REQUIRED,ADMIT_001_BATCH_CONTEXT_MAPPING_REQUIRED,,,,true
dispatch_error,A001_CONTEXT_KEY,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_BATCH_CANDIDATE_RECORD_IDS_REQUIRED,ADMIT_001_BATCH_CANDIDATE_RECORD_IDS_REQUIRED,,,,true
dispatch_error,A001_CONTEXT_CONTAINER,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_BATCH_CANDIDATE_RECORD_IDS_EXACT_LIST_OR_TUPLE_REQUIRED,ADMIT_001_BATCH_CANDIDATE_RECORD_IDS_EXACT_LIST_OR_TUPLE_REQUIRED,,,,true
dispatch_error,A001_CONTEXT_EMPTY,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_BATCH_CANDIDATE_RECORD_IDS_NONEMPTY_REQUIRED,ADMIT_001_BATCH_CANDIDATE_RECORD_IDS_NONEMPTY_REQUIRED,,,,true
dispatch_error,A001_CONTEXT_MEMBER,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_BATCH_CANDIDATE_RECORD_ID_MEMBER_INVALID,ADMIT_001_BATCH_CANDIDATE_RECORD_ID_MEMBER_INVALID,,,,true
dispatch_error,A001_CONTEXT_EVALUATION,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_EVALUATION_CONTEXT_MUST_BE_NONE,ADMIT_001_EVALUATION_CONTEXT_MUST_BE_NONE,,,,true
dispatch_error,A001_CONTEXT_DOWNLOAD,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,ADMIT_001_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,,,,true
dispatch_error,A001_CONTEXT_STAGE,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_001_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,ADMIT_001_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,,,,true
passed,A002_PASS_LEGACY,rule_result,passed,passed,,,,,true,false,false,true
passed,A002_PASS_EXTENDED,rule_result,passed,passed,,,,,true,false,false,true
passed,A002_PASS_STR_SUBCLASS,rule_result,passed,passed,,,,,true,false,false,true
invalid_rule_result,A002_INVALID_MISSING_VALUE,rule_result,invalid,invalid,,,pdb_id_missing,pdb_id_missing,false,true,false,true
invalid_rule_result,A002_INVALID_TYPE,rule_result,invalid,invalid,,,pdb_id_not_string,pdb_id_not_string,false,true,false,true
invalid_rule_result,A002_INVALID_EMPTY,rule_result,invalid,invalid,,,pdb_id_empty,pdb_id_empty,false,true,false,true
invalid_rule_result,A002_INVALID_WHITESPACE,rule_result,invalid,invalid,,,pdb_id_surrounding_whitespace_forbidden,pdb_id_surrounding_whitespace_forbidden,false,true,false,true
invalid_rule_result,A002_INVALID_NON_ASCII,rule_result,invalid,invalid,,,pdb_id_non_ascii_forbidden,pdb_id_non_ascii_forbidden,false,true,false,true
invalid_rule_result,A002_INVALID_FORMAT,rule_result,invalid,invalid,,,pdb_id_format_invalid,pdb_id_format_invalid,false,true,false,true
invalid_rule_result,A002_INVALID_LENGTH,rule_result,invalid,invalid,,,pdb_id_length_invalid,pdb_id_length_invalid,false,true,false,true
invalid_rule_result,A002_INVALID_NON_MAPPING,rule_result,invalid,invalid,,,ADMIT_002_CANDIDATE_RECORD_MAPPING_INVALID,ADMIT_002_CANDIDATE_RECORD_MAPPING_INVALID,false,true,false,true
invalid_rule_result,A002_INVALID_MISSING_FIELD,rule_result,invalid,invalid,,,ADMIT_002_CANDIDATE_FIELD_MISSING:pdb_id,ADMIT_002_CANDIDATE_FIELD_MISSING:pdb_id,false,true,false,true
dispatch_error,A002_CONTEXT_1,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_002_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_002_BATCH_CONTEXT_MUST_BE_NONE,,,,true
dispatch_error,A002_CONTEXT_2,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_002_EVALUATION_CONTEXT_MUST_BE_NONE,ADMIT_002_EVALUATION_CONTEXT_MUST_BE_NONE,,,,true
dispatch_error,A002_CONTEXT_3,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_002_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,ADMIT_002_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,,,,true
dispatch_error,A002_CONTEXT_4,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_002_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,ADMIT_002_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,,,,true
passed,A003_PASS_LOWER,rule_result,passed,passed,,,,,true,false,false,true
passed,A003_PASS_UPPER_DIGIT,rule_result,passed,passed,,,,,true,false,false,true
invalid_rule_result,A003_INVALID_TYPE,rule_result,invalid,invalid,,,LIGAND_COMP_ID_TYPE_INVALID,LIGAND_COMP_ID_TYPE_INVALID,false,true,false,true
invalid_rule_result,A003_INVALID_EMPTY,rule_result,invalid,invalid,,,LIGAND_COMP_ID_EMPTY,LIGAND_COMP_ID_EMPTY,false,true,false,true
invalid_rule_result,A003_INVALID_NON_ASCII,rule_result,invalid,invalid,,,LIGAND_COMP_ID_NON_ASCII,LIGAND_COMP_ID_NON_ASCII,false,true,false,true
invalid_rule_result,A003_INVALID_LENGTH,rule_result,invalid,invalid,,,LIGAND_COMP_ID_LENGTH_INVALID,LIGAND_COMP_ID_LENGTH_INVALID,false,true,false,true
invalid_rule_result,A003_INVALID_SYNTAX,rule_result,invalid,invalid,,,LIGAND_COMP_ID_SYNTAX_INVALID,LIGAND_COMP_ID_SYNTAX_INVALID,false,true,false,true
invalid_rule_result,A003_INVALID_NON_MAPPING,rule_result,invalid,invalid,,,ADMIT_003_CANDIDATE_RECORD_MAPPING_INVALID,ADMIT_003_CANDIDATE_RECORD_MAPPING_INVALID,false,true,false,true
invalid_rule_result,A003_INVALID_MISSING_FIELD,rule_result,invalid,invalid,,,ADMIT_003_CANDIDATE_FIELD_MISSING:ligand_comp_id,ADMIT_003_CANDIDATE_FIELD_MISSING:ligand_comp_id,false,true,false,true
dispatch_error,A003_CONTEXT_1,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_003_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_003_BATCH_CONTEXT_MUST_BE_NONE,,,,true
dispatch_error,A003_CONTEXT_2,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_003_EVALUATION_CONTEXT_MUST_BE_NONE,ADMIT_003_EVALUATION_CONTEXT_MUST_BE_NONE,,,,true
dispatch_error,A003_CONTEXT_3,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_003_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,ADMIT_003_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,,,,true
dispatch_error,A003_CONTEXT_4,dispatch_error,,,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_003_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,ADMIT_003_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,,,,true
passed,A004_PASS,rule_result,passed,passed,,,,,true,false,false,true
blocked,A004_BLOCK,rule_result,blocked,blocked,,,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_MISSING,ADMIT_004_IDENTITY_EVIDENCE_CONTEXT_MISSING,false,true,false,true
invalid_rule_result,A004_INVALID,rule_result,invalid,invalid,,,ADMIT_004_CANDIDATE_RECORD_MAPPING_INVALID,ADMIT_004_CANDIDATE_RECORD_MAPPING_INVALID,false,true,false,true
dispatch_error,GLOBAL_RULE_ID_NON_STR,dispatch_error,,,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,,,,true
dispatch_error,GLOBAL_RULE_ID_STR_SUBCLASS,dispatch_error,,,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,,,,true
dispatch_error,GLOBAL_RULE_UNKNOWN,dispatch_error,,,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,,,,true
dispatch_error,GLOBAL_ADMIT_005_NOT_REGISTERED,dispatch_error,,,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,,,,true
