contract_order,contract_section,section_order,public_name,formal_type,presence,default_or_absence,source_envelope,validation_rule,invariant,contract_passed
13,result_field,6,canonical_download_result_record,exact tuple of exact pair tuples,required,not_applicable,standalone_evaluator_result,Exact12 ordered field,exact dataclass storage order; reconstructable in that order,true
14,result_field,7,canonical_integrity_authority_record,exact tuple of exact pair tuples,required,not_applicable,standalone_evaluator_result,Exact12 ordered field,exact dataclass storage order; reconstructable in that order,true
15,result_field,8,validated_download_result_fields,exact tuple of exact str,required,not_applicable,standalone_evaluator_result,Exact12 ordered field,exact dataclass storage order; reconstructable in that order,true
16,result_field,9,validated_integrity_authority_fields,exact tuple of exact str,required,not_applicable,standalone_evaluator_result,Exact12 ordered field,exact dataclass storage order; reconstructable in that order,true
17,result_field,10,consumed_download_result_fields,exact tuple of exact str,required,not_applicable,standalone_evaluator_result,Exact12 ordered field,exact dataclass storage order; reconstructable in that order,true
18,result_field,11,consumed_integrity_authority_fields,exact tuple of exact str,required,not_applicable,standalone_evaluator_result,Exact12 ordered field,exact dataclass storage order; reconstructable in that order,true
19,result_field,12,evaluator_io_used,exact bool,required,not_applicable,standalone_evaluator_result,Exact12 ordered field,exact dataclass storage order; reconstructable in that order,true
20,result_invariant,1,passed_iff_outcome,invariant,required,not_applicable,result_contract,passed == (outcome == 'passed'),passed == (outcome == 'passed'),true
21,result_invariant,2,blocks_iff_not_passed,invariant,required,not_applicable,result_contract,blocks_candidate == (outcome != 'passed'),blocks_candidate == (outcome != 'passed'),true
22,result_invariant,3,reason_empty_iff_passed,invariant,required,not_applicable,result_contract,reason == '' iff outcome == passed,reason == '' iff outcome == passed,true
23,result_invariant,4,io,invariant,required,not_applicable,result_contract,evaluator_io_used is exact false,evaluator_io_used is exact false,true
24,result_invariant,5,missing_outcome,invariant,required,not_applicable,result_contract,Exact4 missing reason implies blocked,Exact4 missing reason implies blocked,true
25,result_invariant,6,structural_invalid_outcome,invariant,required,not_applicable,result_contract,Exact4/Exact3 type/value reason implies invalid,Exact4/Exact3 type/value reason implies invalid,true
26,result_invariant,7,business_outcome,invariant,required,not_applicable,result_contract,Exact7 business reason implies blocked,Exact7 business reason implies blocked,true
27,result_invariant,8,canonical_download,invariant,required,not_applicable,result_contract,empty before Exact4 structural success; otherwise complete ordered Exact4 pairs,empty before Exact4 structural success; otherwise complete ordered Exact4 pairs,true
28,result_invariant,9,canonical_authority,invariant,required,not_applicable,result_contract,ordered subset of present structurally valid Exact3 pairs only,ordered subset of present structurally valid Exact3 pairs only,true
29,result_invariant,10,validated_download,invariant,required,not_applicable,result_contract,ordered names completed before failure; complete after Exact4 success,ordered names completed before failure; complete after Exact4 success,true
30,result_invariant,11,validated_authority,invariant,required,not_applicable,result_contract,ordered names for provided structurally valid authorities only,ordered names for provided structurally valid authorities only,true
31,result_invariant,12,consumed_download,invariant,required,not_applicable,result_contract,actual ordered lookup prefix; complete after presence phase,actual ordered lookup prefix; complete after presence phase,true
32,result_invariant,13,consumed_authority,invariant,required,not_applicable,result_contract,actual Exact3 lookup prefix including missing optional names,actual Exact3 lookup prefix including missing optional names,true
33,result_invariant,14,canonical_exactness,invariant,required,not_applicable,result_contract,outer/pairs exact tuple; names exact str; raw values retain exact type,outer/pairs exact tuple; names exact str; raw values retain exact type,true
34,result_invariant,15,sentinel_no_leak,invariant,required,not_applicable,result_contract,no runtime or Design missing sentinel in any result representation,no runtime or Design missing sentinel in any result representation,true
35,reason_vocabulary,1,<empty>,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
36,reason_vocabulary,2,DOWNLOAD_RESULT_STATUS_MISSING,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
37,reason_vocabulary,3,OBSERVED_HTTP_STATUS_MISSING,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
38,reason_vocabulary,4,OBSERVED_CONTENT_LENGTH_BYTES_MISSING,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
39,reason_vocabulary,5,OBSERVED_SHA256_MISSING,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
40,reason_vocabulary,6,DOWNLOAD_RESULT_STATUS_TYPE_INVALID,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
41,reason_vocabulary,7,DOWNLOAD_RESULT_STATUS_VALUE_INVALID,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
42,reason_vocabulary,8,OBSERVED_HTTP_STATUS_TYPE_INVALID,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
43,reason_vocabulary,9,OBSERVED_HTTP_STATUS_RANGE_INVALID,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
44,reason_vocabulary,10,OBSERVED_CONTENT_LENGTH_BYTES_TYPE_INVALID,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
45,reason_vocabulary,11,OBSERVED_CONTENT_LENGTH_BYTES_RANGE_INVALID,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
46,reason_vocabulary,12,OBSERVED_SHA256_TYPE_INVALID,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
47,reason_vocabulary,13,OBSERVED_SHA256_FORMAT_INVALID,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
48,reason_vocabulary,14,EXPECTED_CONTENT_LENGTH_BYTES_TYPE_INVALID,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
49,reason_vocabulary,15,EXPECTED_CONTENT_LENGTH_BYTES_RANGE_INVALID,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
50,reason_vocabulary,16,EXPECTED_SHA256_TYPE_INVALID,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
51,reason_vocabulary,17,EXPECTED_SHA256_FORMAT_INVALID,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
52,reason_vocabulary,18,EXPLICIT_INTEGRITY_VERDICT_TYPE_INVALID,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
53,reason_vocabulary,19,EXPLICIT_INTEGRITY_VERDICT_VALUE_INVALID,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
54,reason_vocabulary,20,DOWNLOAD_RESULT_STATUS_FAILURE,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
55,reason_vocabulary,21,OBSERVED_HTTP_STATUS_NOT_SUCCESS,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
56,reason_vocabulary,22,OBSERVED_CONTENT_EMPTY,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
57,reason_vocabulary,23,OBSERVED_SHA256_MISMATCH,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
58,reason_vocabulary,24,EXPLICIT_INTEGRITY_VERDICT_FAILED,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
59,reason_vocabulary,25,OBSERVED_CONTENT_LENGTH_MISMATCH,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
60,reason_vocabulary,26,INTEGRITY_AUTHORITY_MISSING,exact str,required,not_applicable,result_contract,closed Exact26 vocabulary member,no UNKNOWN/OTHER/INTERNAL_ERROR/UNEXPECTED/catch-all/free text,true
61,validation_phase,1,Exact4_presence,precedence_phase,required,not_applicable,standalone_evaluator,Exact4_presence,first failure returns immediately,true
62,validation_phase,2,Exact4_type_value,precedence_phase,required,not_applicable,standalone_evaluator,Exact4_type_value,first failure returns immediately,true
63,validation_phase,3,Exact3_optional_authority_type_value,precedence_phase,required,not_applicable,standalone_evaluator,Exact3_optional_authority_type_value,first failure returns immediately,true
64,validation_phase,4,Exact7_business_outcome,precedence_phase,required,not_applicable,standalone_evaluator,Exact7_business_outcome,first failure returns immediately,true
65,validation_phase,5,passed,precedence_phase,required,not_applicable,standalone_evaluator,passed,first failure returns immediately,true
66,business_precedence,1,DOWNLOAD_RESULT_STATUS_FAILURE,precedence_step,required,not_applicable,standalone_evaluator,rank 1,structural validation completes before business evaluation,true
67,business_precedence,2,OBSERVED_HTTP_STATUS_NOT_SUCCESS,precedence_step,required,not_applicable,standalone_evaluator,rank 2,structural validation completes before business evaluation,true
68,business_precedence,3,OBSERVED_CONTENT_EMPTY,precedence_step,required,not_applicable,standalone_evaluator,rank 3,structural validation completes before business evaluation,true
69,business_precedence,4,OBSERVED_SHA256_MISMATCH,precedence_step,required,not_applicable,standalone_evaluator,rank 4,structural validation completes before business evaluation,true
70,business_precedence,5,EXPLICIT_INTEGRITY_VERDICT_FAILED,precedence_step,required,not_applicable,standalone_evaluator,rank 5,structural validation completes before business evaluation,true
71,business_precedence,6,OBSERVED_CONTENT_LENGTH_MISMATCH,precedence_step,required,not_applicable,standalone_evaluator,rank 6,structural validation completes before business evaluation,true
72,business_precedence,7,INTEGRITY_AUTHORITY_MISSING,precedence_step,required,not_applicable,standalone_evaluator,rank 7,structural validation completes before business evaluation,true
73,business_precedence,8,<passed>,precedence_step,required,not_applicable,standalone_evaluator,rank 8,structural validation completes before business evaluation,true
74,formal_symbol_state,1,evaluate_admit_013_not_implemented,design assertion,required,not_applicable,production_design_gate,formal runtime symbol absent,Design names are not runtime symbols,true
75,formal_symbol_state,2,Admit013EvaluationResult_not_implemented,design assertion,required,not_applicable,production_design_gate,formal runtime symbol absent,Design names are not runtime symbols,true
76,formal_symbol_state,3,adapter_registry_exact13_not_implemented,design assertion,required,not_applicable,production_design_gate,formal runtime symbol absent,Design names are not runtime symbols,true
