case_order,case_id,case_group,assertion_kind,inherited_case_id,download_result_status_representation,observed_http_status_representation,observed_content_length_bytes_representation,observed_sha256_representation,expected_content_length_bytes_representation,expected_sha256_representation,explicit_integrity_verdict_representation,expected_outcome,expected_reason,expected_canonical_download_result_record,expected_canonical_integrity_authority_record,expected_validated_download_result_fields,expected_validated_integrity_authority_fields,expected_consumed_download_result_fields,expected_consumed_integrity_authority_fields,expected_passed,expected_blocks_candidate,expected_evaluator_io_used,observed_design_result,case_passed
16,HTTP_INT_SUBCLASS,observed_http_status_validation,formal_interface_projection,,'success',<int-subclass:200>,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,invalid,OBSERVED_HTTP_STATUS_TYPE_INVALID,(),(),"('download_result_status',)",(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,true,false,"('ADMIT_013', 'invalid', False, True, 'OBSERVED_HTTP_STATUS_TYPE_INVALID', (), (), ('download_result_status',), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true
17,HTTP_FLOAT,observed_http_status_validation,formal_interface_projection,,'success',200.0,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,invalid,OBSERVED_HTTP_STATUS_TYPE_INVALID,(),(),"('download_result_status',)",(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,true,false,"('ADMIT_013', 'invalid', False, True, 'OBSERVED_HTTP_STATUS_TYPE_INVALID', (), (), ('download_result_status',), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true
18,HTTP_STR,observed_http_status_validation,formal_interface_projection,,'success','200',10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,invalid,OBSERVED_HTTP_STATUS_TYPE_INVALID,(),(),"('download_result_status',)",(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,true,false,"('ADMIT_013', 'invalid', False, True, 'OBSERVED_HTTP_STATUS_TYPE_INVALID', (), (), ('download_result_status',), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true
19,HTTP_LOW_99,observed_http_status_validation,formal_interface_projection,,'success',99,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,invalid,OBSERVED_HTTP_STATUS_RANGE_INVALID,(),(),"('download_result_status',)",(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,true,false,"('ADMIT_013', 'invalid', False, True, 'OBSERVED_HTTP_STATUS_RANGE_INVALID', (), (), ('download_result_status',), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true
20,HTTP_HIGH_600,observed_http_status_validation,formal_interface_projection,,'success',600,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,invalid,OBSERVED_HTTP_STATUS_RANGE_INVALID,(),(),"('download_result_status',)",(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,true,false,"('ADMIT_013', 'invalid', False, True, 'OBSERVED_HTTP_STATUS_RANGE_INVALID', (), (), ('download_result_status',), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true
21,HTTP_BOUNDARY_100,observed_http_status_boundary,formal_interface_projection,,'success',100,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,blocked,OBSERVED_HTTP_STATUS_NOT_SUCCESS,"(('download_result_status', 'success'), ('observed_http_status', 100), ('observed_content_length_bytes', 10), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('expected_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'),)","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('expected_sha256',)","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('expected_content_length_bytes', 'expected_sha256', 'explicit_integrity_verdict')",false,true,false,"('ADMIT_013', 'blocked', False, True, 'OBSERVED_HTTP_STATUS_NOT_SUCCESS', (('download_result_status', 'success'), ('observed_http_status', 100), ('observed_content_length_bytes', 10), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('expected_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'),), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('expected_sha256',), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('expected_content_length_bytes', 'expected_sha256', 'explicit_integrity_verdict'), False)",true
22,HTTP_BOUNDARY_199,observed_http_status_boundary,formal_interface_projection,,'success',199,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,blocked,OBSERVED_HTTP_STATUS_NOT_SUCCESS,"(('download_result_status', 'success'), ('observed_http_status', 199), ('observed_content_length_bytes', 10), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('expected_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'),)","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('expected_sha256',)","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('expected_content_length_bytes', 'expected_sha256', 'explicit_integrity_verdict')",false,true,false,"('ADMIT_013', 'blocked', False, True, 'OBSERVED_HTTP_STATUS_NOT_SUCCESS', (('download_result_status', 'success'), ('observed_http_status', 199), ('observed_content_length_bytes', 10), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('expected_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'),), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('expected_sha256',), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('expected_content_length_bytes', 'expected_sha256', 'explicit_integrity_verdict'), False)",true
23,HTTP_BOUNDARY_200,observed_http_status_boundary,formal_interface_projection,,'success',200,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,passed,,"(('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 10), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('expected_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'),)","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('expected_sha256',)","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('expected_content_length_bytes', 'expected_sha256', 'explicit_integrity_verdict')",true,false,false,"('ADMIT_013', 'passed', True, False, '', (('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 10), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('expected_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'),), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('expected_sha256',), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('expected_content_length_bytes', 'expected_sha256', 'explicit_integrity_verdict'), False)",true
24,HTTP_BOUNDARY_299,observed_http_status_boundary,formal_interface_projection,,'success',299,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,passed,,"(('download_result_status', 'success'), ('observed_http_status', 299), ('observed_content_length_bytes', 10), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('expected_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'),)","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('expected_sha256',)","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('expected_content_length_bytes', 'expected_sha256', 'explicit_integrity_verdict')",true,false,false,"('ADMIT_013', 'passed', True, False, '', (('download_result_status', 'success'), ('observed_http_status', 299), ('observed_content_length_bytes', 10), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('expected_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'),), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('expected_sha256',), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('expected_content_length_bytes', 'expected_sha256', 'explicit_integrity_verdict'), False)",true
25,HTTP_BOUNDARY_300,observed_http_status_boundary,formal_interface_projection,,'success',300,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,blocked,OBSERVED_HTTP_STATUS_NOT_SUCCESS,"(('download_result_status', 'success'), ('observed_http_status', 300), ('observed_content_length_bytes', 10), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('expected_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'),)","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('expected_sha256',)","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('expected_content_length_bytes', 'expected_sha256', 'explicit_integrity_verdict')",false,true,false,"('ADMIT_013', 'blocked', False, True, 'OBSERVED_HTTP_STATUS_NOT_SUCCESS', (('download_result_status', 'success'), ('observed_http_status', 300), ('observed_content_length_bytes', 10), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('expected_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'),), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('expected_sha256',), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('expected_content_length_bytes', 'expected_sha256', 'explicit_integrity_verdict'), False)",true
26,HTTP_BOUNDARY_599,observed_http_status_boundary,formal_interface_projection,,'success',599,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,blocked,OBSERVED_HTTP_STATUS_NOT_SUCCESS,"(('download_result_status', 'success'), ('observed_http_status', 599), ('observed_content_length_bytes', 10), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('expected_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'),)","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('expected_sha256',)","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('expected_content_length_bytes', 'expected_sha256', 'explicit_integrity_verdict')",false,true,false,"('ADMIT_013', 'blocked', False, True, 'OBSERVED_HTTP_STATUS_NOT_SUCCESS', (('download_result_status', 'success'), ('observed_http_status', 599), ('observed_content_length_bytes', 10), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('expected_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'),), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('expected_sha256',), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('expected_content_length_bytes', 'expected_sha256', 'explicit_integrity_verdict'), False)",true
27,CONTENT_BOOL,observed_content_length_validation,formal_interface_projection,,'success',200,False,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,invalid,OBSERVED_CONTENT_LENGTH_BYTES_TYPE_INVALID,(),(),"('download_result_status', 'observed_http_status')",(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,true,false,"('ADMIT_013', 'invalid', False, True, 'OBSERVED_CONTENT_LENGTH_BYTES_TYPE_INVALID', (), (), ('download_result_status', 'observed_http_status'), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true
28,CONTENT_INT_SUBCLASS,observed_content_length_validation,formal_interface_projection,,'success',200,<int-subclass:10>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,invalid,OBSERVED_CONTENT_LENGTH_BYTES_TYPE_INVALID,(),(),"('download_result_status', 'observed_http_status')",(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,true,false,"('ADMIT_013', 'invalid', False, True, 'OBSERVED_CONTENT_LENGTH_BYTES_TYPE_INVALID', (), (), ('download_result_status', 'observed_http_status'), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true
29,CONTENT_FLOAT,observed_content_length_validation,formal_interface_projection,,'success',200,10.0,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,invalid,OBSERVED_CONTENT_LENGTH_BYTES_TYPE_INVALID,(),(),"('download_result_status', 'observed_http_status')",(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,true,false,"('ADMIT_013', 'invalid', False, True, 'OBSERVED_CONTENT_LENGTH_BYTES_TYPE_INVALID', (), (), ('download_result_status', 'observed_http_status'), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true
30,CONTENT_STR,observed_content_length_validation,formal_interface_projection,,'success',200,'10','0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,invalid,OBSERVED_CONTENT_LENGTH_BYTES_TYPE_INVALID,(),(),"('download_result_status', 'observed_http_status')",(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,true,false,"('ADMIT_013', 'invalid', False, True, 'OBSERVED_CONTENT_LENGTH_BYTES_TYPE_INVALID', (), (), ('download_result_status', 'observed_http_status'), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true
31,CONTENT_NEGATIVE,observed_content_length_validation,formal_interface_projection,,'success',200,-1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,invalid,OBSERVED_CONTENT_LENGTH_BYTES_RANGE_INVALID,(),(),"('download_result_status', 'observed_http_status')",(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,true,false,"('ADMIT_013', 'invalid', False, True, 'OBSERVED_CONTENT_LENGTH_BYTES_RANGE_INVALID', (), (), ('download_result_status', 'observed_http_status'), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true
32,CONTENT_ZERO_STRUCTURAL_BUSINESS_BLOCK,observed_content_length_boundary,formal_interface_projection,,'success',200,0,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,blocked,OBSERVED_CONTENT_EMPTY,"(('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 0), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'))","(('expected_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'),)","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('expected_sha256',)","('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')","('expected_content_length_bytes', 'expected_sha256', 'explicit_integrity_verdict')",false,true,false,"('ADMIT_013', 'blocked', False, True, 'OBSERVED_CONTENT_EMPTY', (('download_result_status', 'success'), ('observed_http_status', 200), ('observed_content_length_bytes', 0), ('observed_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef')), (('expected_sha256', '0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef'),), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('expected_sha256',), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), ('expected_content_length_bytes', 'expected_sha256', 'explicit_integrity_verdict'), False)",true
