case_id,case_group,scalar_input_kind,scalar_input_display,context_input_kind,context_input_display,expected_full_result,observed_full_result,committed_oracle_full_result,production_oracle_equality,case_passed
CASE_011_empty,empty_syntax,str,"""""",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_EMPTY"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_EMPTY"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_EMPTY"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_012_whitespace,empty_syntax,str,""" """,exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_013_leading_whitespace,empty_syntax,str,""" approved_restoration_template""",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_014_trailing_whitespace,empty_syntax,str,"""approved_restoration_template """,exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_015_uppercase,empty_syntax,str,"""Approved_restoration_template""",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_016_hyphen,empty_syntax,str,"""approved-restoration-template""",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_017_dot,empty_syntax,str,"""approved.restoration""",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_018_slash,empty_syntax,str,"""approved/restoration""",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_019_non_ascii,empty_syntax,str,"""approved_restorati\u00f3n""",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_NON_ASCII"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_NON_ASCII"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_NON_ASCII"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
CASE_020_over_length,empty_syntax,str,"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",exact_tuple,"tuple:[""approved_restoration_template"", ""explicit_manual_review_approved""]","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_008"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""TOPOLOGY_RESTORATION_DISPOSITION_SYNTAX_INVALID"",""canonical_topology_restoration_disposition"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false}",true,true
