contract_order,contract_section,section_order,public_name,formal_type,default_or_missing_behavior,required,source_envelope,validation_rule,invariant,contract_passed
41,reason_vocabulary,9,OBSERVED_HTTP_STATUS_RANGE_INVALID,exact str,not_applicable,true,result_contract,closed vocabulary member,no catch-all reason,true
42,reason_vocabulary,10,OBSERVED_CONTENT_LENGTH_BYTES_TYPE_INVALID,exact str,not_applicable,true,result_contract,closed vocabulary member,no catch-all reason,true
43,reason_vocabulary,11,OBSERVED_CONTENT_LENGTH_BYTES_RANGE_INVALID,exact str,not_applicable,true,result_contract,closed vocabulary member,no catch-all reason,true
44,reason_vocabulary,12,OBSERVED_SHA256_TYPE_INVALID,exact str,not_applicable,true,result_contract,closed vocabulary member,no catch-all reason,true
45,reason_vocabulary,13,OBSERVED_SHA256_FORMAT_INVALID,exact str,not_applicable,true,result_contract,closed vocabulary member,no catch-all reason,true
46,reason_vocabulary,14,ALLOWED_DOWNLOAD_RESULT_STATUSES_TYPE_INVALID,exact str,not_applicable,true,result_contract,closed vocabulary member,no catch-all reason,true
47,reason_vocabulary,15,ALLOWED_DOWNLOAD_RESULT_STATUSES_CONTENT_INVALID,exact str,not_applicable,true,result_contract,closed vocabulary member,no catch-all reason,true
48,reason_vocabulary,16,SUCCESSFUL_HTTP_STATUS_CONTRACT_TYPE_INVALID,exact str,not_applicable,true,result_contract,closed vocabulary member,no catch-all reason,true
49,reason_vocabulary,17,SUCCESSFUL_HTTP_STATUS_CONTRACT_CONTENT_INVALID,exact str,not_applicable,true,result_contract,closed vocabulary member,no catch-all reason,true
50,reason_vocabulary,18,CONTENT_LENGTH_CONTRACT_TYPE_INVALID,exact str,not_applicable,true,result_contract,closed vocabulary member,no catch-all reason,true
51,reason_vocabulary,19,CONTENT_LENGTH_CONTRACT_CONTENT_INVALID,exact str,not_applicable,true,result_contract,closed vocabulary member,no catch-all reason,true
52,reason_vocabulary,20,SHA256_FORMAT_CONTRACT_TYPE_INVALID,exact str,not_applicable,true,result_contract,closed vocabulary member,no catch-all reason,true
53,reason_vocabulary,21,SHA256_FORMAT_CONTRACT_CONTENT_INVALID,exact str,not_applicable,true,result_contract,closed vocabulary member,no catch-all reason,true
54,validation_precedence,1,presence:download_result_status,precedence_step,not_applicable,true,standalone_evaluator,presence:download_result_status,first failure returns immediately,true
55,validation_precedence,2,presence:observed_http_status,precedence_step,not_applicable,true,standalone_evaluator,presence:observed_http_status,first failure returns immediately,true
56,validation_precedence,3,presence:observed_content_length_bytes,precedence_step,not_applicable,true,standalone_evaluator,presence:observed_content_length_bytes,first failure returns immediately,true
57,validation_precedence,4,presence:observed_sha256,precedence_step,not_applicable,true,standalone_evaluator,presence:observed_sha256,first failure returns immediately,true
58,validation_precedence,5,type_then_value:download_result_status,precedence_step,not_applicable,true,standalone_evaluator,type_then_value:download_result_status,first failure returns immediately,true
59,validation_precedence,6,type_then_value:observed_http_status,precedence_step,not_applicable,true,standalone_evaluator,type_then_value:observed_http_status,first failure returns immediately,true
60,validation_precedence,7,type_then_value:observed_content_length_bytes,precedence_step,not_applicable,true,standalone_evaluator,type_then_value:observed_content_length_bytes,first failure returns immediately,true
61,validation_precedence,8,type_then_value:observed_sha256,precedence_step,not_applicable,true,standalone_evaluator,type_then_value:observed_sha256,first failure returns immediately,true
62,validation_precedence,9,context_type:allowed_download_result_statuses,precedence_step,not_applicable,true,standalone_evaluator,context_type:allowed_download_result_statuses,first failure returns immediately,true
63,validation_precedence,10,context_type:successful_http_status_contract,precedence_step,not_applicable,true,standalone_evaluator,context_type:successful_http_status_contract,first failure returns immediately,true
64,validation_precedence,11,context_type:content_length_contract,precedence_step,not_applicable,true,standalone_evaluator,context_type:content_length_contract,first failure returns immediately,true
65,validation_precedence,12,context_type:sha256_format_contract,precedence_step,not_applicable,true,standalone_evaluator,context_type:sha256_format_contract,first failure returns immediately,true
66,validation_precedence,13,context_content:allowed_download_result_statuses,precedence_step,not_applicable,true,standalone_evaluator,context_content:allowed_download_result_statuses,first failure returns immediately,true
67,validation_precedence,14,context_content:successful_http_status_contract,precedence_step,not_applicable,true,standalone_evaluator,context_content:successful_http_status_contract,first failure returns immediately,true
68,validation_precedence,15,context_content:content_length_contract,precedence_step,not_applicable,true,standalone_evaluator,context_content:content_length_contract,first failure returns immediately,true
69,validation_precedence,16,context_content:sha256_format_contract,precedence_step,not_applicable,true,standalone_evaluator,context_content:sha256_format_contract,first failure returns immediately,true
70,validation_precedence,17,passed,precedence_step,not_applicable,true,standalone_evaluator,passed,first failure returns immediately,true
