case_id,scope_id,candidate_index,call_sequence,rule_id,execution_domain,candidate_record_identity_class,context_route,dispatcher_attempt_number,aggregator_attempt_number,returned_outcome,identity_checks
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,0,5,ADMIT_003,candidate_scoped,candidate_record_identity,stage_authorization=None,5,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,0,6,ADMIT_004,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,6,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,0,7,ADMIT_005,candidate_scoped,candidate_record_identity,stage_authorization=None,7,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,0,8,ADMIT_006,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,8,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,0,9,ADMIT_007,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,9,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,0,10,ADMIT_008,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,10,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,0,11,ADMIT_009,candidate_scoped,candidate_record_identity,batch=caller_identity;evaluation=candidate_identity;stage_authorization=None,11,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,0,12,ADMIT_010,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,12,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,0,13,ADMIT_011,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,13,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,0,14,ADMIT_012,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,14,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,0,15,ADMIT_013,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,15,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,0,16,,candidate_aggregator,not_applicable,ordered_vector_keyword_identity,15,1,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,1,17,ADMIT_001,candidate_scoped,candidate_record_identity,batch=caller_identity;stage_authorization=None,16,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,1,18,ADMIT_002,candidate_scoped,candidate_record_identity,stage_authorization=None,17,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,1,19,ADMIT_003,candidate_scoped,candidate_record_identity,stage_authorization=None,18,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,1,20,ADMIT_004,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,19,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,1,21,ADMIT_005,candidate_scoped,candidate_record_identity,stage_authorization=None,20,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,1,22,ADMIT_006,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,21,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,1,23,ADMIT_007,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,22,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,1,24,ADMIT_008,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,23,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,1,25,ADMIT_009,candidate_scoped,candidate_record_identity,batch=caller_identity;evaluation=candidate_identity;stage_authorization=None,24,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,1,26,ADMIT_010,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,25,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,1,27,ADMIT_011,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,26,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,1,28,ADMIT_012,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,27,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,1,29,ADMIT_013,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,28,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,1,30,,candidate_aggregator,not_applicable,ordered_vector_keyword_identity,28,2,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,2,31,ADMIT_001,candidate_scoped,candidate_record_identity,batch=caller_identity;stage_authorization=None,29,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,2,32,ADMIT_002,candidate_scoped,candidate_record_identity,stage_authorization=None,30,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,2,33,ADMIT_003,candidate_scoped,candidate_record_identity,stage_authorization=None,31,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,2,34,ADMIT_004,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,32,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,2,35,ADMIT_005,candidate_scoped,candidate_record_identity,stage_authorization=None,33,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,2,36,ADMIT_006,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,34,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,2,37,ADMIT_007,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,35,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,2,38,ADMIT_008,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,36,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,2,39,ADMIT_009,candidate_scoped,candidate_record_identity,batch=caller_identity;evaluation=candidate_identity;stage_authorization=None,37,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,2,40,ADMIT_010,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,38,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,2,41,ADMIT_011,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,39,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,2,42,ADMIT_012,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,40,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,2,43,ADMIT_013,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,41,0,passed,true
training_execution_admission_permission:N=3:all_passed,training_execution_admission_permission,2,44,,candidate_aggregator,not_applicable,ordered_vector_keyword_identity,41,3,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,-1,1,ADMIT_014,stage_global_once,stage_global_sentinel_identity,stage_authorization_context=caller_identity;others=None,1,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,-1,2,ADMIT_015,stage_global_once,stage_global_sentinel_identity,stage_authorization_context=caller_identity;others=None,2,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,0,3,ADMIT_001,candidate_scoped,candidate_record_identity,batch=caller_identity;stage_authorization=None,3,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,0,4,ADMIT_002,candidate_scoped,candidate_record_identity,stage_authorization=None,4,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,0,5,ADMIT_003,candidate_scoped,candidate_record_identity,stage_authorization=None,5,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,0,6,ADMIT_004,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,6,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,0,7,ADMIT_005,candidate_scoped,candidate_record_identity,stage_authorization=None,7,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,0,8,ADMIT_006,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,8,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,0,9,ADMIT_007,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,9,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,0,10,ADMIT_008,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,10,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,0,11,ADMIT_009,candidate_scoped,candidate_record_identity,batch=caller_identity;evaluation=candidate_identity;stage_authorization=None,11,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,0,12,ADMIT_010,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,12,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,0,13,ADMIT_011,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,13,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,0,14,ADMIT_012,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,14,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,0,15,ADMIT_013,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,15,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,0,16,,candidate_aggregator,not_applicable,ordered_vector_keyword_identity,15,1,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,1,17,ADMIT_001,candidate_scoped,candidate_record_identity,batch=caller_identity;stage_authorization=None,16,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,1,18,ADMIT_002,candidate_scoped,candidate_record_identity,stage_authorization=None,17,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,1,19,ADMIT_003,candidate_scoped,candidate_record_identity,stage_authorization=None,18,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,1,20,ADMIT_004,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,19,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,1,21,ADMIT_005,candidate_scoped,candidate_record_identity,stage_authorization=None,20,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,1,22,ADMIT_006,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,21,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,1,23,ADMIT_007,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,22,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,1,24,ADMIT_008,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,23,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,1,25,ADMIT_009,candidate_scoped,candidate_record_identity,batch=caller_identity;evaluation=candidate_identity;stage_authorization=None,24,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,1,26,ADMIT_010,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,25,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,1,27,ADMIT_011,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;stage_authorization=None,26,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,1,28,ADMIT_012,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,27,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,1,29,ADMIT_013,candidate_scoped,candidate_record_identity,evaluation=candidate_identity;download=candidate_identity;stage_authorization=None,28,0,passed,true
training_execution_admission_permission:N=3:aggregator_malformed_candidate_1,training_execution_admission_permission,1,30,,candidate_aggregator,not_applicable,ordered_vector_keyword_identity,28,2,error,true
